time;players.1.FishingPosition;players.1.score;players.2.FishingPosition;players.2.score;players.3.FishingPosition;players.3.score;players.4.FishingPosition;players.4.score;players.5.FishingPosition;players.5.score;event_type;
0;2;59;1;60;0;51;6;65;8;54;FISH_CATCH;
999;2;60;1;61;0;51;6;66;8;55;FISH_CATCH;
2014;2;60;1;62;0;52;6;67;8;55;FISH_CATCH;
3030;2;60;1;62;0;52;6;68;8;55;FISH_CATCH;
3954;6;60;1;62;0;52;6;68;8;55;PLAYER_SWITCH;
4032;6;60;1;63;0;52;6;69;8;55;FISH_CATCH;
5047;6;60;1;64;0;53;6;70;8;55;FISH_CATCH;
5282;6;60;1;64;0;53;6;70;2;55;PLAYER_SWITCH;
6047;6;60;1;65;0;54;6;71;2;55;FISH_CATCH;
6063;6;60;1;65;7;54;6;71;2;55;PLAYER_SWITCH;
7063;6;60;1;66;7;55;6;72;2;55;FISH_CATCH;
8063;6;60;1;67;7;55;6;72;2;56;FISH_CATCH;
8141;6;60;9;67;7;55;6;72;2;56;PLAYER_SWITCH;
8938;4;60;9;67;7;55;6;72;2;56;PLAYER_SWITCH;
9079;4;61;9;68;7;55;6;73;2;56;FISH_CATCH;
10079;4;61;9;68;7;55;6;73;2;56;FISH_CATCH;
11079;4;61;9;68;7;55;6;73;2;56;FISH_CATCH;
11485;4;61;9;68;7;55;0;73;2;56;PLAYER_SWITCH;
11891;4;61;1;68;7;55;0;73;2;56;PLAYER_SWITCH;
12079;4;62;1;69;7;56;0;73;2;56;FISH_CATCH;
13094;4;63;1;69;7;56;0;73;2;57;FISH_CATCH;
13360;4;63;1;69;7;56;8;73;2;57;PLAYER_SWITCH;
14110;4;63;1;70;7;56;8;74;2;58;FISH_CATCH;
15126;4;64;1;70;7;56;8;74;2;59;FISH_CATCH;
16141;4;64;1;71;7;57;8;75;2;60;FISH_CATCH;
17157;4;65;1;72;7;58;8;75;2;61;FISH_CATCH;
18157;4;65;1;73;7;58;8;76;2;61;FISH_CATCH;
19173;4;66;1;74;7;59;8;76;2;62;FISH_CATCH;
20188;4;66;1;75;7;59;8;76;2;63;FISH_CATCH;
21188;4;66;1;75;7;60;8;76;2;64;FISH_CATCH;
22204;4;67;1;75;7;61;8;76;2;64;FISH_CATCH;
23204;4;68;1;75;7;62;8;76;2;65;FISH_CATCH;
24206;4;68;1;75;7;62;8;76;2;65;FISH_CATCH;
25220;4;68;1;76;7;62;8;76;2;65;FISH_CATCH;
26220;4;68;1;77;7;63;8;77;2;65;FISH_CATCH;
27236;4;68;1;78;7;63;8;78;2;65;FISH_CATCH;
27251;4;68;1;78;7;63;0;78;2;65;PLAYER_SWITCH;
28236;4;68;1;79;7;63;0;78;2;65;FISH_CATCH;
29251;4;69;1;80;7;63;0;79;2;66;FISH_CATCH;
30251;4;69;1;81;7;63;0;79;2;66;FISH_CATCH;
31267;4;69;1;82;7;64;0;79;2;67;FISH_CATCH;
32267;4;69;1;83;7;64;0;79;2;67;FISH_CATCH;
32814;4;69;1;83;7;64;8;79;2;67;PLAYER_SWITCH;
33283;4;70;1;83;7;65;8;79;2;68;FISH_CATCH;
34292;4;71;1;83;7;66;8;79;2;68;FISH_CATCH;
35292;4;72;1;83;7;66;8;79;2;68;FISH_CATCH;
36293;4;72;1;83;7;66;8;80;2;68;FISH_CATCH;
37309;4;72;1;83;7;67;8;80;2;68;FISH_CATCH;
